,pos,tag,importance
entitled,['VERB'],['VBD'],[11.9776259434]
ass,['NOUN'],['NN'],[9.115505500000001]
bitch,['NOUN'],['NN'],[8.843871652]
fucking,"['INTJ', 'ADJ']","['UH', 'JJ']",[7.1915223877]
piece,['NOUN'],['NN'],[7.0843818]
I,['PRON'],['PRP'],[6.4482920515]
nobody,['PRON'],['NN'],[4.416948173]
fuck,"['NOUN', 'VERB']","['NN', 'VB', 'VBP']",[3.7808383658000007]
blow,['VERB'],['VBP'],[3.3418983900000003]
dick,['NOUN'],['NN'],[3.0997324725]
–,['PUNCT'],[':'],[2.9892046279999995]
you,['PRON'],['PRP'],[2.8451882017600005]
ur,"['PRON', 'PROPN']","['NNP', 'PRP']",[2.5847885587]
doing,['VERB'],['VBG'],[2.48347427]
going,['VERB'],['VBG'],[2.42777473]
then,['ADV'],['RB'],[2.115683723]
…,['PUNCT'],['NFP'],[2.00314427]
mother,['NOUN'],['NN'],[1.7857503859999997]
suck,['VERB'],['VB'],[1.7264688599999998]
shit,['NOUN'],['NN'],[1.7087706673]
Constitution,['PROPN'],['NNP'],[1.70344257]
his,['PRON'],['PRP$'],[1.5225260131999998]
guy,['NOUN'],['NN'],[1.4078064000000001]
hot,['ADJ'],['JJ'],[1.4026041060000003]
even,['ADV'],['RB'],[1.3701555699999999]
be,['AUX'],['VB'],[1.32802033]
send,['VERB'],['VBP'],[1.0481970595]
this,['DET'],['DT'],[1.037372683]
that,['PRON'],['WDT'],[0.9747286]
small,['ADJ'],['JJ'],[0.9463801304999999]
on,['ADP'],['IN'],[0.9172572999999999]
kill,['VERB'],['VB'],[0.911574419]
are,['AUX'],['VBP'],[0.9025064744]
shouted,['VERB'],['VBD'],[0.861615453]
text,['NOUN'],['NN'],[0.63106726]
pretty,['ADV'],['RB'],[0.6211663569999999]
white,['ADJ'],['JJ'],[0.5872268819999997]
As,['SCONJ'],['IN'],[0.56838559]
out,['ADP'],['RP'],[0.54775262]
most,['ADJ'],['JJS'],[0.5189781]
Hook,['NOUN'],['NN'],[0.4995770500000001]
fool,['NOUN'],['NN'],[0.49415827199999995]
Boys,['PROPN'],['NNPS'],[0.4671869369]
it,['PRON'],['PRP'],[0.418486122]
so,['ADV'],['RB'],[0.404831417]
kind,['NOUN'],['NN'],[0.401514235]
damn,['ADV'],['RB'],[0.393594264]
actually,['ADV'],['RB'],[0.39321044499999996]
So,['ADV'],['RB'],[0.36041022]
White,['PROPN'],['NNP'],[0.32424926]
And,['CCONJ'],['CC'],[0.313168519]
from,['ADP'],['IN'],[0.31031561]
minutes,['NOUN'],['NNS'],[0.24774688049999996]
song,['NOUN'],['NN'],[0.22649335]
beginning,['VERB'],['VBG'],[0.2257719]
Sam,['PROPN'],['NNP'],[0.22221469599999996]
your,['PRON'],['PRP$'],[0.21440240149999973]
will,['AUX'],['MD'],[0.20001029800000003]
care,['VERB'],['VB'],[0.18858152299999997]
have,['VERB'],['VBP'],[0.1856498474]
new,['ADJ'],['JJ'],[0.1686785252]
Going,['VERB'],['VBG'],[0.16059501499999998]
back,['ADV'],['RB'],[0.16007506999999999]
later,['ADV'],['RBR'],[0.15090082999999993]
what,['PRON'],['WP'],[0.1475352]
kids,['NOUN'],['NNS'],[0.13414177519999998]
to,['PART'],['TO'],[0.12906609520000006]
probably,['ADV'],['RB'],[0.12791657]
girlfriend,['NOUN'],['NN'],[0.11578987000000002]
if,['SCONJ'],['IN'],[0.108035564]
recorded,['VERB'],['VBN'],[0.095869064]
she,['PRON'],['PRP'],[0.08980918329999996]
spending,['VERB'],['VBG'],[0.0819976229]
but,['CCONJ'],['CC'],[0.07790613]
re,['AUX'],['VBP'],[0.077244879]
‘,['PUNCT'],['``'],[0.0723793447]
all,"['DET', 'PRON']",['DT'],[0.0715190155]
an,['DET'],['DT'],[0.07133176999999999]
great,['ADJ'],['JJ'],[0.06937690040000001]
wait,['VERB'],['VB'],[0.068377903]
yelled,['ADJ'],['JJ'],[0.06537914]
were,['AUX'],['VBD'],[0.05923748]
me,['PRON'],['PRP'],[0.056028068]
One,['NUM'],['CD'],[0.055527687]
